id	title	description	price	condition	link	availability	image_link	brand	gtin	mpn	google_product_category	product_type	shipping_weight	shipping_length	shipping_width	shipping_height	item_group_id	additional_image_link	age_group	gender	material	pattern	color	size	item_condition	energy_efficiency_class	multipack	adult	shipping_label	shipping_cost	shipping_country	shipping_region	shipping_service	shipping_time	shipping_zip	shipping_city	shipping_state	shipping_address	shipping_phone	shipping_contact	shipping_notes	shipping_instructions	shipping_restrictions	shipping_handling_time	shipping_delivery_time	shipping_carrier	shipping_method	shipping_priority	shipping_insurance	shipping_signature	shipping_tracking	shipping_notification	shipping_confirmation	shipping_receipt	shipping_invoice	shipping_packing_slip	shipping_label_url	shipping_tracking_url	shipping_delivery_confirmation	shipping_proof_of_delivery	shipping_return_address	shipping_return_phone	shipping_return_contact	shipping_return_notes	shipping_return_instructions	shipping_return_restrictions	shipping_return_handling_time	shipping_return_delivery_time	shipping_return_carrier	shipping_return_method	shipping_return_priority	shipping_return_insurance	shipping_return_signature	shipping_return_tracking	shipping_return_notification	shipping_return_confirmation	shipping_return_receipt	shipping_return_invoice	shipping_return_packing_slip	shipping_return_label_url	shipping_return_tracking_url	shipping_return_delivery_confirmation	shipping_return_proof_of_delivery
cancer	TinSkinz Cancer	Pre-designed tin with zodiac design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Cancer_Front.png	TinSkinz		TS-CANCER	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-zodiac	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Cancer_Back.png	adult	unisex	Aluminum	Zodiac	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
taurus	TinSkinz Taurus	Pre-designed tin with zodiac design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Taurus_Front.png	TinSkinz		TS-TAURUS	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-zodiac	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Taurus_Back.png	adult	unisex	Aluminum	Zodiac	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
capricornus	TinSkinz Capricorn	Pre-designed tin with zodiac design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Capricorn_Front.png	TinSkinz		TS-CAPRICORNUS	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-zodiac	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Capricorn_Back.png	adult	unisex	Aluminum	Zodiac	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
pisces	TinSkinz Pisces	Pre-designed tin with zodiac design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Pisces_Front.png	TinSkinz		TS-PISCES	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-zodiac	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Pisces_Back.png	adult	unisex	Aluminum	Zodiac	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
leo	TinSkinz Leo	Pre-designed tin with zodiac design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Leo_Front.png	TinSkinz		TS-LEO	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-zodiac	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Leo_Back.png	adult	unisex	Aluminum	Zodiac	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
aquarius	TinSkinz Aquarius	Pre-designed tin with zodiac design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Aquarius_Front.png	TinSkinz		TS-AQUARIUS	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-zodiac	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Aquarius_Back.png	adult	unisex	Aluminum	Zodiac	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
libra	TinSkinz Libra	Pre-designed tin with zodiac design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Libra_Front.png	TinSkinz		TS-LIBRA	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-zodiac	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Libra_Back.png	adult	unisex	Aluminum	Zodiac	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
sagittarius	TinSkinz Sagittarius	Pre-designed tin with zodiac design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Sagittarius_Front.png	TinSkinz		TS-SAGITTARIUS	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-zodiac	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Sagittarius_Back.png	adult	unisex	Aluminum	Zodiac	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
gemini	TinSkinz Gemini	Pre-designed tin with zodiac design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Gemini_Front.png	TinSkinz		TS-GEMINI	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-zodiac	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Gemini_Back.png	adult	unisex	Aluminum	Zodiac	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
aries	TinSkinz Aries	Pre-designed tin with zodiac design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Aries_Front.png	TinSkinz		TS-ARIES	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-zodiac	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Aries_Back.png	adult	unisex	Aluminum	Zodiac	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
virgo	TinSkinz Virgo	Pre-designed tin with zodiac design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Virgo_Front.png	TinSkinz		TS-VIRGO	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-zodiac	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Virgo_Back.png	adult	unisex	Aluminum	Zodiac	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
scorpio	TinSkinz Scorpio	Pre-designed tin with zodiac design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Scorpio_Front.png	TinSkinz		TS-SCORPIO	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-zodiac	https://buyprintz.com/assets/tin-skinz/designs/Zodiac/Zodiac/Scorpio_Back.png	adult	unisex	Aluminum	Zodiac	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
bee	TinSkinz Bee	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Bee_Front.png	TinSkinz		TS-BEE	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Bee_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
wolf	TinSkinz Wolf	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Wolf_Front.png	TinSkinz		TS-WOLF	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Wolf_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
hummingbird	TinSkinz Hummingbird	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Hummingbird_Front.png	TinSkinz		TS-HUMMINGBIRD	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Hummingbird_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
bunny	TinSkinz Bunny	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Bunny_Front.png	TinSkinz		TS-BUNNY	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Bunny_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
butterfly	TinSkinz Butterfly	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Butterfly_Front.png	TinSkinz		TS-BUTTERFLY	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Butterfly_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
cat	TinSkinz Cat	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Cat_Front.png	TinSkinz		TS-CAT	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Cat_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
puppy	TinSkinz Puppy	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Puppy_Front.png	TinSkinz		TS-PUPPY	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Puppy_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
horse	TinSkinz Horse	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Horse_Front.png	TinSkinz		TS-HORSE	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Horse_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
lion	TinSkinz Lion	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Lion_Front.png	TinSkinz		TS-LION	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Lion_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
owl	TinSkinz Owl	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Owl_Front.png	TinSkinz		TS-OWL	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Owl_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
parrot	TinSkinz Parrot	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Parrot_Front.png	TinSkinz		TS-PARROT	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Parrot_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
peacock-14	TinSkinz Peacock	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Peacock_Front.png	TinSkinz		TS-PEACOCK-14	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Peacock_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
peacock-15	TinSkinz Peacock 2	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Peacock 2_Front.png	TinSkinz		TS-PEACOCK-15	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Peacock 2_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
turtle	TinSkinz Turtle	Pre-designed tin with animals design, perfect for birthdays, events, and special occasions. Includes candy and custom message option.	9.99	new	https://buyprintz.com/tin-skinz	in_stock	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Turtle_Front.png	TinSkinz		TS-TURTLE	Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy	TinSkinz	0.2	3	2	1	tinskinz-animals	https://buyprintz.com/assets/tin-skinz/designs/Animals/Animals/Turtle_Back.png	adult	unisex	Aluminum	Animals	Multi	Standard	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123			Return within 30 days	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
